titlelb;publicscore;id
Assassins;2,8;9691
Assault on Precinct 13;3,8;8978
Asterics at The Olimpics Game;2,4;2395
Astro Boy;2,6;16577
At First Sight;2,5;15556
ATL;3,3;13960
Atlantis: The Lost Empire;3,6;10865
Atlas Shrugged Part II;1,8;134371
Atlas Shrugged Part III: Who is John Galt?;1,5;199933
Atonement;4;4347
Attack the Block;3,6;59678
August;2,6;86549
August Rush;3,2;5123
August: Osage County;3,4;152737
Austin Powers in Goldmember;2,9;818
Austin Powers: International Man of Mystery;3,4;816
Austin Powers: The Spy Who Shagged Me;3,2;817
Australia;2,8;6972
Auto Focus;3,4;14112
Automata;2,8;262543
Autumn in New York;2,5;10641
Avatar;3,4;19995
Avengers: Age of Ultron;3,1;99861
AVP: Alien vs. Predator;2,5;395
Awake;2,9;13483
Away We Go;3,3;19255
AWOL-72;2,7;342502
Ayurveda: Art of Being;-;73981
Baahubali: The Beginning;3,4;256040
Babe;3,3;9598
Babe: Pig in the City;3;9447
Babel;3,6;1164
Baby Boy;3,3;16161
Baby Geniuses;1,4;22345
Baby Mama;2,8;8780
Babylon A.D.;2,3;9381
Baby's Day Out;2,7;11212
Bachelorette;2,6;84174
Back to the Future;4,2;105
Back to the Future Part II;3,8;165
Back to the Future Part III;3,5;196
Backmask;2,2;226458
Bad Boys;3,2;9737
Bad Boys II;3,1;8961
Bad Company;2,4;3132
Bad Moms;2,8;376659
Bad Santa;3,2;10147
Bad Teacher;2,4;52449
Bad Words;3,1;209403
Baggage Claim;2,3;175528
Baghead;3,1;5759
Bait;2,4;118957
Ballistic: Ecks vs. Sever;1,5;10550
Bambi;3,5;3170
Bamboozled;3,8;24664
Bananas;3,3;11302
Bandidas;2,6;1969
Bandits;3;3172
Bandslam;2,8;23367
Bang;3,2;124606
Bang Bang Baby;2,7;269057
Bangkok Dangerous;2,1;13184
Banlieue 13;3,3;10045
Banshee Chapter;2,8;207769
Barbarella;3,2;8069
Barbecue;2,8;250349
Barbershop;3,1;10611
Barbershop 2:  Back in Business;2,7;21301
Barney's Great Adventure;2,3;17644
Barney's Version;3,4;46829
Barnyard;2,7;9907
Barry Lyndon;4,3;3175
Barry Munday;2,7;44594
Basic;2,9;10782
Basic Instinct 2;1,9;3093
Basquiat;3,4;549
Bathing Beauty;3,1;43546
Bathory;3;15208
Batman;3,6;268
Batman;3,6;2661
Batman & Robin;1,8;415
Batman Begins;3,8;272
Batman Forever;2,5;414
Batman Returns;3,6;364
Batman v Superman: Dawn of Justice;2,5;209112
"Batman: The Dark Knight Returns, Part 2
";3,9;142061
Bats;2,1;10496
Battle for the Planet of the Apes;2,6;1705
Battle of the Year;2,3;109417
Battle: Los Angeles;2,3;44943
Battlefield Earth;1,1;5491
Battleship;2,1;44833
Be Cool;2,4;4551
Be Kind Rewind;3,2;4953
Beastly;2,2;38117
Beastmaster 2: Through the Portal of Time;2,6;27549
Beasts of the Southern Wild;3,7;84175
Beat the World;2,5;66767
Beautiful Creatures;2,5;109491
Beauty Shop;2,9;14177
Beavis and Butt-Head Do America;3,4;3179
Because I Said So;2,5;1257
Because of Winn-Dixie;3;17880
Becoming Jane;3,4;2977
Bedazzled;2,8;1636
Bedtime Stories;2,6;10202
Bee Movie;2,8;5559
Beer League;2,7;14137
Beerfest;2,9;9988
Beetlejuice;3,8;4011
Before I Go to Sleep;2,9;204922
Before Midnight;4,1;132344
Before Sunrise;4,3;76
Before Sunset;4,3;80
Begin Again;3,6;198277
Beginners;3,9;55347
Behind Enemy Lines;2,9;8007
Being John Malkovich;4;492
