filme;nota;;;;;;
Anderson's Cross;-;;;1359;American Psycho;;0
Angel Eyes;2,5;;;71552;American Reunion;;0
Angela's Ashes;3,5;;;190859;American Sniper;;0
Angels & Demons;3;;;2771;American Splendor;;0
Animal House;3,5;;;8273;American Wedding;;0
Animal Kingdom: Lets go Ape;2;;;11467;America's Sweethearts;;0
Animals;3,3;;;378237;Amidst the Devil's Wings;;0
Anna and the King;3;;;72913;Amigo;;0
Anna Karenina;3,5;;;11831;Amistad;;0
Annabelle;2,4;;;351043;Amnesiac;;0
Anne of Green Gables;4,2;;;125123;Among Giants;;0
Annie;3,2;;;55;Amores perros;;0
Annie Get Your Gun;3,1;;;86837;Amour;;0
Annie Hall;4;;;78149;An Alan Smithee Film: Burn, Hollywood, Burn;;0
Anomalisa;3,8;;;13948;An American Carol;;0
Anonymous;2,9;;;10008;An American Haunting;;0
Another Earth;3,4;;;282128;An American in Hollywood;;0
Another Happy Day;3,1;;;24684;An Education;;0
Another Year;3,9;;;29122;An Everlasting Piece;;0
Antarctic Edge: 70 South;3,3;;;24137;An Ideal Husband;;0
Antarctica: A Year on Ice;3,6;;;1781;An Inconvenient Truth;;0
Antibirth;2,6;;;1947;An Unfinished Life;;0
Antitrust;2,6;;;9360;Anaconda;;0
Antiviral;3,2;;;11237;Anacondas: The Hunt for the Blood Orchid;;0
Ant-Man;3,3;;;9932;Analyze That;;0
Antwone Fisher;3,4;;;9535;Analyze This;;0
Antz;2,7;;;9444;Anastasia;;0
Any Given Sunday;3,2;;;1698;Anatomie;;0
Anything Else;2,9;;;109443;Anchorman 2: The Legend Continues;;0
Anywhere But Here;3;;;8699;Anchorman: The Legend of Ron Burgundy;;0
Apocalypse Now;4,4;;;253235;And So It Goes;;0
Apocalypto;3,7;;;29731;And Then Came Love;;0
Apollo 13;3,7;;;45791;And When Did You Last See Your Father?;;0
Apollo 18;2,1;;;324352;Anderson's Cross;;0
Appaloosa;3,1;;;5852;Angel Eyes;;0
April Fool's Day;3,1;;;10397;Angela's Ashes;;0
Aqua Teen Hunger Force Colon Movie Film for Theaters;3,3;;;13448;Angels & Demons;;0
Aquamarine;3,2;;;8469;Animal House;;0
Arachnophobia;3,2;;;253253;Animals;;0
Ararat;3,2;;;1439;Anna and the King;;0
Arbitrage;3,1;;;96724;Anna Karenina;;0
Archaeology of a Woman;-;;;250546;Annabelle;;0
Are We There Yet?;2,3;;;17663;Anne of Green Gables;;0
Area 51;1,8;;;196867;Annie;;0
Argo;3,6;;;25209;Annie Get Your Gun;;0
Arlington Road;3,4;;;703;Annie Hall;;0
Armageddon;3;;;291270;Anomalisa;;0
Armored;2,5;;;61891;Anonymous;;0
Army of Darkness;3,7;;;55420;Another Earth;;0
Arn: Tempelriddaren;2,9;;;60422;Another Happy Day;;0
Arnolds Park;-;;;44009;Another Year;;0
Around the World in 80 Days;2,6;;;335244;Antarctic Edge: 70° South;;0
Aroused;3,2;;;201132;Antarctica: A Year on Ice;;0
Arthur Christmas;3,4;;;332285;Antibirth;;0
Arthur et les Minimoys;2,7;;;9989;Antitrust;;0
As Above, So Below;3,2;;;125490;Antiviral;;0
As Good as It Gets;3,5;;;102899;Ant-Man;;0
Ask Me Anything;2,7;;;13435;Antwone Fisher;;0
Assassins;2,8;;;8916;Antz;;0
Assault on Precinct 13;3,8;;;9563;Any Given Sunday;;0
Asterics at The Olimpics Game;2,4;;;10739;Anything Else;;0
Astro Boy;2,6;;;21349;Anywhere But Here;;0
At First Sight;2,5;;;28;Apocalypse Now;;0
ATL;3,3;;;1579;Apocalypto;;0
Atlantis: The Lost Empire;3,6;;;568;Apollo 13;;0
Atlas Shrugged Part II;1,8;;;50357;Apollo 18;;0
Atlas Shrugged Part III: Who is John Galt?;1,5;;;12690;Appaloosa;;0
Atonement;4;;;24913;April Fool's Day;;0
Attack the Block;3,6;;;13158;Aqua Teen Hunger Force Colon Movie Film for Theaters;;0
August;2,6;;;14191;Aquamarine;;0
August Rush;3,2;;;6488;Arachnophobia;;0
August: Osage County;3,4;;;16351;Ararat;;0
Austin Powers in Goldmember;2,9;;;60599;Arbitrage;;0
Austin Powers: International Man of Mystery;3,4;;;288927;Archaeology of a Woman;;0
Austin Powers: The Spy Who Shagged Me;3,2;;;11637;Are We There Yet?;;0
Australia;2,8;;;57876;Area 51;;0
Auto Focus;3,4;;;68734;Argo;;0
Automata;2,8;;;1073;Arlington Road;;0
Autumn in New York;2,5;;;95;Armageddon;;0
Avatar;3,4;;;4597;Armored;;0
Avengers: Age of Ultron;3,1;;;766;Army of Darkness;;0
AVP: Alien vs. Predator;2,5;;;13491;Arn: Tempelriddaren;;0
Awake;2,9;;;181940;Arnolds Park;;0
Away We Go;3,3;;;10204;Around the World in 80 Days;;0
AWOL-72;2,7;;;178862;Aroused;;0
Ayurveda: Art of Being;-;;;51052;Arthur Christmas;;0
Baahubali: The Beginning;3,4;;;9992;Arthur et les Minimoys;;0
Babe;3,3;;;256274;As Above, So Below;;0
Babe: Pig in the City;3;;;2898;As Good as It Gets;;0
Babel;3,6;;;271185;Ask Me Anything;;0
Baby Boy;3,3;;;9691;Assassins;;0
Baby Geniuses;1,4;;;8978;Assault on Precinct 13;;0
Baby Mama;2,8;;;2395;Astérix aux Jeux Olympiques;;0
Babylon A.D.;2,3;;;16577;Astro Boy;;0
Baby's Day Out;2,7;;;9470;功夫;;0
Bachelorette;2,6;;;15556;At First Sight;;0
Back to the Future;4,2;;;13960;ATL;;0
Back to the Future Part II;3,8;;;10865;Atlantis: The Lost Empire;;0
Back to the Future Part III;3,5;;;134371;Atlas Shrugged Part II;;0
Backmask;2,2;;;199933;Atlas Shrugged Part III: Who is John Galt?;;0
Bad Boys;3,2;;;4347;Atonement;;0
Bad Boys II;3,1;;;59678;Attack the Block;;0
Bad Company;2,4;;;86549;August;;0
Bad Moms;2,8;;;5123;August Rush;;0
Bad Santa;3,2;;;152737;August: Osage County;;0
Bad Teacher;2,4;;;818;Austin Powers in Goldmember;;0
Bad Words;3,1;;;816;Austin Powers: International Man of Mystery;;0
Baggage Claim;2,3;;;817;Austin Powers: The Spy Who Shagged Me;;0
Baghead;3,1;;;6972;Australia;;0
Bait;2,4;;;262543;Autómata;;0
Ballistic: Ecks vs. Sever;1,5;;;14112;Auto Focus;;0
Bambi;3,5;;;10641;Autumn in New York;;0
Bamboozled;3,8;;;19995;Avatar;;0
Bananas;3,3;;;99861;Avengers: Age of Ultron;;0
Bandidas;2,6;;;395;AVP: Alien vs. Predator;;0
Bandits;3;;;13483;Awake;;0
Bandslam;2,8;;;19255;Away We Go;;0
Bang;3,2;;;342502;AWOL-72;;0
Bang Bang Baby;2,7;;;73981;Ayurveda: Art of Being;;0
Bangkok Dangerous;2,1;;;256040;Baahubali: The Beginning;;0
Banlieue 13;3,3;;;9598;Babe;;0
Banshee Chapter;2,8;;;9447;Babe: Pig in the City;;0
Barbarella;3,2;;;1164;Babel;;0
Barbecue;2,8;;;16161;Baby Boy;;0
Barbershop;3,1;;;22345;Baby Geniuses;;0
Barbershop 2:  Back in Business;2,7;;;8780;Baby Mama;;0
Barney's Great Adventure;2,3;;;9381;Babylon A.D.;;0
Barney's Version;3,4;;;11212;Baby's Day Out;;0
Barnyard;2,7;;;84174;Bachelorette;;0
Barry Lyndon;4,3;;;105;Back to the Future;;0
Barry Munday;2,7;;;165;Back to the Future Part II;;0
Basic;2,9;;;196;Back to the Future Part III;;0
Basic Instinct 2;1,9;;;226458;Backmask;;0
Basquiat;3,4;;;9737;Bad Boys;;0
Bathing Beauty;3,1;;;8961;Bad Boys II;;0
Bathory;3;;;3132;Bad Company;;0
Batman;3,6;;;376659;Bad Moms;;0
Batman;3,6;;;10147;Bad Santa;;0
Batman & Robin;1,8;;;52449;Bad Teacher;;0
Batman Begins;3,8;;;209403;Bad Words;;0
Batman Forever;2,5;;;175528;Baggage Claim;;0
Batman Returns;3,6;;;5759;Baghead;;0
Batman v Superman: Dawn of Justice;2,5;;;118957;Bait;;0
"Batman: The Dark Knight Returns, Part 2
";3,9;;;10550;Ballistic: Ecks vs. Sever;;0
Bats;2,1;;;3170;Bambi;;0
Battle for the Planet of the Apes;2,6;;;24664;Bamboozled;;0
Battle of the Year;2,3;;;11302;Bananas;;0
Battle: Los Angeles;2,3;;;1969;Bandidas;;0
