filme;nota;;;;;;
Open Secret;3,2;;;26518;Old Joy;;0
Open Water;2,6;;;11635;Old School;;0
Operation Chromite;2,6;;;257;Oliver Twist;;0
Opposite Sex;3;;;17917;Oliver!;;0
Ordet;4,3;;;117263;Olympus Has Fallen;;0
Ordinary People;3,9;;;9624;On Deadly Ground;;0
Orgazmo;2,9;;;668;On Her Majesty's Secret Service;;0
Original Sin;2,6;;;182291;On The Downlow;;0
Orphan;3,4;;;34043;On the Line;;0
Osama;3,6;;;78307;On the Outs;;0
Oscar and Lucinda;3,1;;;83770;On the Road;;0
Osmosis Jones;2,8;;;654;On the Waterfront;;0
Ouija;1,8;;;5723;Once;;0
Our Brand Is Crisis;2,8;;;39183;Once in a Lifetime: The Extraordinary Story of the New York Cosmos;;0
Our Family Wedding;2,4;;;311;Once Upon a Time in America;;0
Our Idiot Brother;3;;;1428;Once Upon a Time in Mexico;;0
Our Kind of Traitor;2,9;;;38448;Ondine;;0
Out Cold;2,8;;;51828;One Day;;0
Out of Africa;3,3;;;164558;One Direction: This Is Us;;0
Out of Inferno;3;;;510;One Flew Over the Cuckoo's Nest;;0
Out of Sight;3,7;;;54054;One for the Money;;0
Out of the Blue;4;;;9357;One Hour Photo;;0
Out of the Blue;4;;;69848;One Man's Hero;;0
Out of the Dark;2,9;;;6933;One Missed Call;;0
Out of the Furnace;3,2;;;15005;One Night with the King;;0
Out of Time;3;;;53113;One True Thing;;0
Outbreak;3,1;;;16353;Ong Bak 2;;0
Outside Bet;-;;;77987;Only God Forgives;;0
Outside Providence;2,9;;;15797;Only the Strong;;0
Over Her Dead Body;2,2;;;16564;Oorlogswinter;;0
Over the Hedge;3,1;;;15699;Opal Dream;;0
Owning Mahowny;3,4;;;2055;Open Range;;0
Oz: The Great and Powerful;2;;;192210;Open Road;;0
P.S. I Love You;3,1;;;7484;Open Season;;0
Paa;3,2;;;51130;Open Secret;;0
Pacific Rim;3,3;;;83;Open Water;;0
Paddington;3,8;;;301748;Opposite Sex;;0
Pain & Gain;2,9;;;48035;Ordet;;0
Paint Your Wagon;3;;;16619;Ordinary People;;0
Pale Rider;3,5;;;8675;Orgazmo;;0
Palo Alto;3,2;;;2057;Original Sin;;0
Pan;2,2;;;21208;Orphan;;0
Pandaemonium;3,2;;;14757;Osama;;0
Pandorum;3;;;39780;Oscar and Lucinda;;0
Panic Room;3,4;;;12610;Osmosis Jones;;0
Paparazzi;2,3;;;242512;Ouija;;0
Paper Towns;2,5;;;10317;Our Brand Is Crisis;;0
Paranormal Activity;2,9;;;34563;Our Family Wedding;;0
Paranormal Activity 2;2,6;;;59968;Our Idiot Brother;;0
Paranormal Activity 3;2,6;;;205588;Our Kind of Traitor;;0
Paranormal Activity 4;2,1;;;14369;Out Cold;;0
Paranormal Activity: The Marked Ones;2,4;;;606;Out of Africa;;0
ParaNorman;3,6;;;1389;Out of Sight;;0
Parental Guidance;2,5;;;39269;Out of the Blue;;0
Paris, je t'aime;3,4;;;10844;Out of the Blue;;0
Parker;2,6;;;283686;Out of the Dark;;0
Partition;3,3;;;164457;Out of the Furnace;;0
Party Monster;3,4;;;2116;Out of Time;;0
Passchendaele;2,5;;;6950;Outbreak;;0
Pat Garrett & Billy the Kid;3,8;;;103903;Outside Bet;;0
Patch Adams;3,2;;;14578;Outside Providence;;0
Pathology;2,5;;;13160;Over Her Dead Body;;0
Patriot Games;3,2;;;7518;Over the Hedge;;0
Patton;3,8;;;15394;Owning Mahowny;;0
Paul;3;;;68728;Oz: The Great and Powerful;;0
Paul Blart: Mall Cop;2,2;;;6023;P.S. I Love You;;0
Paul Blart: Mall Cop 2;1,7;;;26379;Paa;;0
Pay It Forward;2,9;;;68726;Pacific Rim;;0
Payback;3,2;;;116149;Paddington;;0
Paycheck;2,6;;;134374;Pain & Gain;;0
PCU;3;;;20391;Paint Your Wagon;;0
Peace, Propaganda & the Promised Land;3,5;;;8879;Pale Rider;;0
Peaceful Warrior;3,2;;;192132;Palo Alto;;0
Pearl Harbor;2,6;;;266647;Pan;;0
Peeples;2,5;;;40880;Pandaemonium;;0
Peggy Sue Got Married;3,3;;;19898;Pandorum;;0
Penguins of Madagascar;2,9;;;4547;Panic Room;;0
Penitentiary;3,3;;;15644;Paparazzi;;0
People I Know;2,6;;;286565;Paper Towns;;0
Per un pugno di dollari;3,9;;;23827;Paranormal Activity;;0
Percy Jackson & the Olympians: The Lightning Thief;2,5;;;41436;Paranormal Activity 2;;0
Percy Jackson: Sea of Monsters;2,1;;;72571;Paranormal Activity 3;;0
Perfect Cowboy;-;;;82990;Paranormal Activity 4;;0
Perfume: The Story of a Murderer;3,6;;;227348;Paranormal Activity: The Marked Ones;;0
Perriers Bounty;3,1;;;77174;ParaNorman;;0
Persepolis;4,1;;;88042;Parental Guidance;;0
Pet Sematary;3,2;;;2266;Paris, je t'aime;;0
Pete's Dragon;3,1;;;119283;Parker;;0
Phantasm II;3,2;;;14608;Partition;;0
Phat Girlz;2,4;;;1415;Party Monster;;0
Phenomenon;2,7;;;14582;Passchendaele;;0
Philadelphia;3,8;;;11577;Pat Garrett & Billy the Kid;;0
Philomena;3,6;;;10312;Patch Adams;;0
Phone Booth;3,2;;;12192;Pathology;;0
Pi;3,6;;;9869;Patriot Games;;0
Pieces of April;3,4;;;11202;Patton;;0
Pierrot le fou;4;;;39513;Paul;;0
Pineapple Express;3,3;;;14560;Paul Blart: Mall Cop;;0
Pink Flamingos;3,5;;;256961;Paul Blart: Mall Cop 2;;0
Pink Narcissus;3,6;;;10647;Pay It Forward;;0
"Pink Ribbons, Inc.
";3,4;;;2112;Payback;;0
Pinocchio;3,5;;;9620;Paycheck;;0
Piranha 3D;2,4;;;14425;PCU;;0
Pirates of the Caribbean: At World's End;3,3;;;64973;Peace, Propaganda & the Promised Land;;0
Pirates of the Caribbean: Dead Man's Chest;3,5;;;13689;Peaceful Warrior;;0
Pirates of the Caribbean: On Stranger Tides;2,7;;;676;Pearl Harbor;;0
Pirates of the Caribbean: The Curse of the Black Pearl;3,9;;;72359;Peeples;;0
Pitch Black;3,3;;;10013;Peggy Sue Got Married;;0
Pitch Perfect;3,4;;;270946;Penguins of Madagascar;;0
Pitch Perfect 2;2,9;;;65448;Penitentiary;;0
Pixels;2;;;11458;People I Know;;0
Planet 51;2,2;;;391;Per un pugno di dollari;;0
Planet of the Apes;2,2;;;32657;Percy Jackson & the Olympians: The Lightning Thief;;0
Plastic;2,4;;;76285;Percy Jackson: Sea of Monsters;;0
Platoon;3,9;;;408429;Perfect Cowboy;;0
Play It to the Bone;2,5;;;1427;Perfume: The Story of a Murderer;;0
Playing for Keeps;2,2;;;41009;Perrier’s Bounty;;0
Please Give;3,4;;;2011;Persepolis;;0
Plush;2,5;;;8913;Pet Sematary;;0
Pocahontas;3,2;;;294272;Pete's Dragon;;0
Pocketful of Miracles;3,3;;;15158;Phantasm II;;0
Poetic Justice;3,3;;;30139;Phat Girlz;;0
Point Blank;3,9;;;9294;Phenomenon;;0
Point Break;2,2;;;9800;Philadelphia;;0
Pokémon 3: The Movie;3,1;;;205220;Philomena;;0
Police Academy;3,1;;;1817;Phone Booth;;0
Police Academy: Mission to Moscow;1,7;;;473;Pi;;0
Polisse;3,8;;;1550;Pieces of April;;0
Pollock;3,3;;;2786;Pierrot le fou;;0
Poltergeist;3,6;;;10189;Pineapple Express;;0
Poltergeist III;2,4;;;692;Pink Flamingos;;0
Pompeii;2,2;;;42497;Pink Narcissus;;0
Pontypool;3,4;;;89750;Pink Ribbons, Inc.;;0
Ponyo;4;;;10895;Pinocchio;;0
Pooh's Heffalump Movie;3,3;;;43593;Piranha 3D;;0
Poolhall Junkies;3;;;285;Pirates of the Caribbean: At World's End;;0
Pootie Tang;2,9;;;58;Pirates of the Caribbean: Dead Man's Chest;;0
Porky's;2,7;;;1865;Pirates of the Caribbean: On Stranger Tides;;0
Poseidon;2,5;;;22;Pirates of the Caribbean: The Curse of the Black Pearl;;0
Post Grad;2,2;;;2787;Pitch Black;;0
Poultrygeist: Night of the Chicken Dead;3;;;114150;Pitch Perfect;;0
Pound of Flesh;2,3;;;254470;Pitch Perfect 2;;0
Practical Magic;3,5;;;257344;Pixels;;0
Praia do Futuro;3,4;;;16866;Planet 51;;0
Precious;3,5;;;869;Planet of the Apes;;0
Predator;3,8;;;208869;Plastic;;0
Predator 2;2,9;;;792;Platoon;;0
Predators;3,3;;;20761;Play It to the Bone;;0
Prefontaine;3,1;;;77875;Playing for Keeps;;0
Premium Rush;2,9;;;40247;Please Give;;0
Premonition;2,6;;;215881;Plush;;0
Pretty Woman;3,6;;;10530;Pocahontas;;0
Pride & Prejudice;4,1;;;248;Pocketful of Miracles;;0
Pride and Glory;2,9;;;8291;Poetic Justice;;0
Pride and Prejudice and Zombies;2,7;;;26039;Point Blank;;0
Priest;2,3;;;257088;Point Break;;0
Primary Colors;3,2;;;10991;Pokémon 3: The Movie;;0
Primer;3,6;;;9336;Police Academy;;0
Prince of Persia: The Sands of Time;2,5;;;11546;Police Academy: Mission to Moscow;;0
Princess Kaiulani;2,9;;;71157;Polisse;;0
Princess Mononoke;4,3;;;12509;Pollock;;0
Prison;3;;;609;Poltergeist;;0
Prisoners;4,2;;;10306;Poltergeist III;;0
Private Benjamin;3;;;76649;Pompeii;;0
Project Almanac;2,9;;;23963;Pontypool;;0
Project X;3,1;;;13682;Pooh's Heffalump Movie;;0
Prom;2,4;;;14293;Poolhall Junkies;;0
Prom Night;2,7;;;10615;Pootie Tang;;0
Prometheus;3,2;;;10246;Porky's;;0
Promised Land;3;;;503;Poseidon;;0
Proof of Life;2,8;;;25704;Post Grad;;0
Prophecy;2,9;;;17287;Poultrygeist: Night of the Chicken Dead;;0
Proud;-;;;326284;Pound of Flesh;;0
Psycho;4,3;;;280391;Pourquoi j'ai pas mangé mon père;;0
Psycho Beach Party;3,1;;;6435;Practical Magic;;0
Public Enemies;3,1;;;227975;Praia do Futuro;;0
Pulp Fiction;4,3;;;25793;Precious;;0
Pulse;3,6;;;106;Predator;;0
Punch-Drunk Love;4;;;169;Predator 2;;0
Punisher: War Zone;2,7;;;34851;Predators;;0
Purple Violets;2,9;;;26306;Prefontaine;;0
Pushing Tin;2,7;;;49526;Premium Rush;;0
Puss in Boots;2,9;;;9963;Premonition;;0
Q;3,2;;;114;Pretty Woman;;0
Quantum of Solace;2,8;;;4348;Pride & Prejudice;;0
Quarantine;2,5;;;13150;Pride and Glory;;0
Quartet;3,1;;;58431;Pride and Prejudice and Zombies;;0
Que Horas Ela Volta?;4,3;;;38321;Priest;;0
Queen Crab;2,4;;;9440;Primary Colors;;0
Queen of the Damned;2,7;;;14337;Primer;;0
Quest for Camelot;2,9;;;9543;Prince of Persia: The Sands of Time;;0
Quigley Down Under;3,2;;;39806;Princess Kaiulani;;0
Quills;3,4;;;48309;Prison;;0
Quinceanera;3,3;;;146233;Prisoners;;0
Quo Vadis;3,3;;;10765;Private Benjamin;;0
R.I.P.D.;2,1;;;227719;Project Almanac;;0
R.L. Stine's Monsterville: The Cabinet of Souls;2,5;;;57214;Project X;;0
R100;3,2;;;51588;Prom;;0
Rabbit Hole;3,5;;;8617;Prom Night;;0
Rabbit-Proof Fence;3,4;;;70981;Prometheus;;0
Race;3,2;;;133694;Promised Land;;0
Race to Witch Mountain;2,3;;;11983;Proof of Life;;0
Rachel Getting Married;3,6;;;31915;Prophecy;;0
Racing Stripes;2,1;;;37694;Proud;;0
Radio;2,9;;;539;Psycho;;0
Radio Days;3,7;;;27723;Psycho Beach Party;;0
Radio Flyer;3,1;;;11322;Public Enemies;;0
Raging Bull;4,2;;;680;Pulp Fiction;;0
Raiders of the Lost Ark;4,2;;;9682;Pulse;;0
Rain Man;3,8;;;8051;Punch-Drunk Love;;0
Raise the Titanic;2,4;;;13056;Punisher: War Zone;;0
Raise Your Voice;2,7;;;20065;Purple Violets;;0
Raising Cain;3,2;;;12596;Pushing Tin;;0
Raising Helen;2,8;;;417859;Puss in Boots;;0
Raising Victor Vargas;3,7;;;86331;Q;;0
Ramanujan;3,2;;;10764;Quantum of Solace;;0
Rambo III;2,7;;;13812;Quarantine;;0
Rambo: First Blood Part II;3,1;;;121826;Quartet;;0
Ramona and Beezus;2,9;;;310569;Que Horas Ela Volta?;;0
Rampage;2,5;;;360188;Queen Crab;;0
Random Hearts;2,4;;;11979;Queen of the Damned;;0
Rang De Basanti;3,8;;;18937;Quest for Camelot;;0
Rango;3,6;;;9588;Quigley Down Under;;0
Ransom;3,1;;;10876;Quills;;0
Rapa Nui;2,9;;;64499;Quinceañera;;0
Rat Race;2,9;;;11620;Quo Vadis;;0
Ratatouille;4,2;;;49524;R.I.P.D.;;0
Ravenous;3,6;;;362105;R.L. Stine's Monsterville: The Cabinet of Souls;;0
Ray;3,6;;;193722;R100;;0
Raymond Did It;3;;;27585;Rabbit Hole;;0
Ready to Rumble;2,4;;;9555;Rabbit-Proof Fence;;0
Real Steel;3,1;;;323677;Race;;0
Real Women Have Curves;3,9;;;13836;Race to Witch Mountain;;0
Reality Show;3,2;;;14976;Rachel Getting Married;;0
Rebecca;4,1;;;6439;Racing Stripes;;0
Recess: School's Out;3,1;;;13920;Radio;;0
RED;3;;;30890;Radio Days;;0
RED 2;2,8;;;20763;Radio Flyer;;0
Red Dawn;3;;;1578;Raging Bull;;0
Red Dog;3,4;;;85;Raiders of the Lost Ark;;0
Red Dragon;3,3;;;380;Rain Man;;0
Red Eye;3,2;;;24575;Raise the Titanic;;0
Red Lights;2,8;;;14024;Raise Your Voice;;0
Red Planet;2,4;;;13937;Raising Cain;;0
Red Riding Hood;2,3;;;4599;Raising Helen;;0
Red Riding: In the Year of Our Lord 1974;3,4;;;25461;Raising Victor Vargas;;0
Red River;3,9;;;1370;Rambo III;;0
Red Sky;2,4;;;1369;Rambo: First Blood Part II;;0
Red Sonja;2,4;;;38843;Ramona and Beezus;;0
Red State;3;;;38780;Rampage;;0
Red Tails;2,6;;;12618;Random Hearts;;0
Redacted;3,1;;;7913;Rang De Basanti;;0
Redbelt;3,3;;;44896;Rango;;0
Redemption Road;-;;;3595;Ransom;;0
Reds;3,8;;;10448;Rapa Nui;;0
Regression;2,4;;;9896;Rat Race;;0
Reign of Assassins;3,2;;;2062;Ratatouille;;0
Reign of Fire;2,9;;;10212;Ravenous;;0
Reign Over Me;3,3;;;1677;Ray;;0
Reindeer Games;2,5;;;228550;Raymond Did It;;0
Rejsen til Saturn;2,4;;;20697;Ready to Rumble;;0
Re-Kill;2,4;;;39254;Real Steel;;0
Religulous;3,1;;;30309;Real Women Have Curves;;0
Remember Me;3,2;;;176074;Reality Show;;0
Remember the Titans;3,7;;;223;Rebecca;;0
Renaissance;3;;;19405;Recess: School's Out;;0
Renaissance Man;2,8;;;39514;RED;;0
Rendition;2,9;;;146216;RED 2;;0
Reno 911!: Miami;2,9;;;1880;Red Dawn;;0
Rent;3,3;;;66125;Red Dog;;0
Repo Man;3,8;;;9533;Red Dragon;;0
Repo Men;2,8;;;11460;Red Eye;;0
Repo! The Genetic Opera;3,1;;;75638;Red Lights;;0
Requiem for a Dream;4,1;;;8870;Red Planet;;0
Rescue Dawn;3,5;;;49730;Red Riding Hood;;0
Reservoir Dogs;4,1;;;291081;Red Riding: In the Year of Our Lord 1974;;0
Resident Evil;2,9;;;3089;Red River;;0
Resident Evil: Afterlife;2,5;;;242166;Red Sky;;0
Resident Evil: Apocalypse;2,6;;;9626;Red Sonja;;0
Resident Evil: Extinction;2,6;;;48572;Red State;;0
Resident Evil: Retribution;2,5;;;72431;Red Tails;;0
Restless;3,1;;;11600;Redacted;;0
Restoration;3;;;12400;Redbelt;;0
Resurrecting the Champ;3;;;74457;Redemption Road;;0
Return of the Jedi;4;;;18254;Reds;;0
Return of the Living Dead 3;3;;;241257;Regression;;0
Return to Me;3,3;;;6278;Reign of Fire;;0
Return to Never Land;2,8;;;2355;Reign Over Me;;0
Return to Oz;3,3;;;2155;Reindeer Games;;0
Return to the Blue Lagoon;2,3;;;16016;Rejsen til Saturn;;0
Revolutionary Road;3,5;;;106845;Re-Kill;;0
Ri¢hie Ri¢h;2,5;;;13007;Religulous;;0
Richard III;3,6;;;23169;Remember Me;;0
Ricordati di me;2,9;;;10637;Remember the Titans;;0
Riddick;2,8;;;9389;Renaissance;;0
Ride Along;2,6;;;11858;Renaissance Man;;0
Ride Along 2;2,4;;;5125;Rendition;;0
Ride with the Devil;3,2;;;10090;Reno 911!: Miami;;0
Riding Giants;3,8;;;1833;Rent;;0
Riding in Cars with Boys;3,3;;;13820;Repo Man;;0
Rien ne va plus;-;;;31867;Repo Men;;0
Righteous Kill;2,3;;;14353;Repo! The Genetic Opera;;0
Rio;3,1;;;641;Requiem for a Dream;;0
Rio 2;2,7;;;9952;Rescue Dawn;;0
Ripley's Game;3,3;;;500;Reservoir Dogs;;0
Rise of the Entrepreneur: The Search for a Better Way;-;;;1576;Resident Evil;;0
Rise of the Guardians;3,4;;;35791;Resident Evil: Afterlife;;0
Rise of the Planet of the Apes;3,6;;;1577;Resident Evil: Apocalypse;;0
Risen;2,9;;;7737;Resident Evil: Extinction;;0
River's Edge;3,6;;;71679;Resident Evil: Retribution;;0
Rize;3,6;;;153397;Restless;;0
Road Hard;2,8;;;396152;Restoration;;0
Road House;3,4;;;13074;Resurrecting the Champ;;0
Road to Perdition;3,7;;;1892;Return of the Jedi;;0
Road Trip;2,8;;;28260;Return of the Living Dead 3;;0
Roadside;2,5;;;2621;Return to Me;;0
Roadside Romeo;2,2;;;16690;Return to Never Land;;0
Roar;3,2;;;13155;Return to Oz;;0
Rob Roy;3,2;;;13888;Return to the Blue Lagoon;;0
Robin and Marian;3,3;;;4148;Revolutionary Road;;0
Robin Hood: Prince of Thieves;3,1;;;11011;Ri¢hie Ri¢h;;0
RoboCop;2,4;;;31174;Richard III;;0
RoboCop 3;1,9;;;38970;Ricordati di me;;0
Robot & Frank;3,4;;;87421;Riddick;;0
Robots;3,1;;;168530;Ride Along;;0
Rock of Ages;2,6;;;323675;Ride Along 2;;0
Rock Star;2,8;;;22267;Ride with the Devil;;0
Rockaway;3,3;;;291;Riding Giants;;0
Rocket Singh: Salesman of the Year;3,5;;;11091;Riding in Cars with Boys;;0
RockNRolla;3,3;;;64559;Rien ne va plus;;0
Rocky;4;;;13389;Righteous Kill;;0
Rocky Balboa;3,4;;;46195;Rio;;0
Rodeo Girl;2,7;;;172385;Rio 2;;0
Roger & Me;3,7;;;10955;Ripley's Game;;0
Role Models;3,2;;;328307;Rise of the Entrepreneur: The Search for a Better Way;;0
Roll Bounce;3,3;;;81188;Rise of the Guardians;;0
Rollerball;3,2;;;61791;Rise of the Planet of the Apes;;0
Romance & Cigarettes;3;;;335778;Risen;;0
Romeo + Juliet;3,4;;;21309;River's Edge;;0
Romeo Is Bleeding;3,1;;;2287;Rize;;0
Romeo Must Die;2,8;;;291362;Road Hard;;0
Ronin;3,5;;;10135;Road House;;0
Room;4;;;4147;Road to Perdition;;0
Rosemary's Baby;4,2;;;9285;Road Trip;;0
Rosewater;3,1;;;308467;Roadside;;0
Rotor DR1;-;;;20653;Roadside Romeo;;0
Rounders;3,5;;;2989;Roar;;0
Royal Kill;2,5;;;11780;Rob Roy;;0
Rubber;2,8;;;10786;Robin and Marian;;0
Ruby in Paradise;3,6;;;20662;Robin Hood;;0
Rudderless;3,6;;;8367;Robin Hood: Prince of Thieves;;0
Rugrats Go Wild;2,7;;;97020;RoboCop;;0
Rugrats in Paris: The Movie;3,1;;;5550;RoboCop 3;;0
Rumble in the Bronx;3,4;;;84329;Robot & Frank;;0
Run All Night;2,9;;;9928;Robots;;0
Run Fatboy Run;2,9;;;80585;Rock of Ages;;0
Run, Hide;2,2;;;12508;Rock Star;;0
Runaway Bride;2,8;;;20406;Rockaway;;0
Runner Runner;2,3;;;26815;Rocket Singh: Salesman of the Year;;0
Running Forever;-;;;13809;RockNRolla;;0
Running Scared;3,3;;;1366;Rocky;;0
Running with Scissors;2,9;;;1246;Rocky Balboa;;0
Rush;3,7;;;379532;Rodeo Girl;;0
Rush Hour 2;3,2;;;1779;Roger & Me;;0
Rush Hour 3;2,8;;;15373;Role Models;;0
Rushmore;3,9;;;14544;Roll Bounce;;0
Rust;3,1;;;11535;Rollerball;;0
S.W.A.T.;2,6;;;13994;Romance & Cigarettes;;0
Sa som i himmelen;3,5;;;454;Romeo + Juliet;;0
Sabotage;3,4;;;2088;Romeo Is Bleeding;;0
Safe;4;;;2085;Romeo Must Die;;0
Safe Haven;2,9;;;8195;Ronin;;0
Safe House;2,9;;;264644;Room;;0
Safe Men;3;;;805;Rosemary's Baby;;0
Safety Not Guaranteed;3,3;;;222649;Rosewater;;0
Sahara;2,6;;;371690;Rotor DR1;;0
Saint John of Las Vegas;2,7;;;10220;Rounders;;0
Saint Ralph;3,3;;;40914;Royal Kill;;0
Saints and Soldiers;3,1;;;45649;Rubber;;0
Salt;2,9;;;47889;Ruby in Paradise;;0
Salton Sea;3,2;;;244403;Rudderless;;0
Salvador;3,6;;;20694;Rugrats Go Wild;;0
Salvando al Soldado Perez;2,6;;;16340;Rugrats in Paris: The Movie;;0
Salvation Boulevard;2,4;;;241554;Run All Night;;0
Samantha: An American Girl Holiday;3,3;;;7942;Run Fatboy Run;;0
Sammy's avonturen: De geheime doorgang;2,4;;;290391;Run, Hide, Die;;0
Samsara;4,1;;;4806;Runaway Bride;;0
San Andreas;2,5;;;146238;Runner Runner;;0
Sanctuary: Quite a Conundrum;-;;;447027;Running Forever;;0
Sanctum;2,6;;;7304;Running Scared;;0
Sands of Iwo Jima;3,2;;;7510;Running with Scissors;;0
Sardaarji;3,1;;;96721;Rush;;0
Sausage Party;2,4;;;5175;Rush Hour 2;;0
Savage Grace;2,6;;;5174;Rush Hour 3;;0
Savages;2,7;;;11545;Rushmore;;0
Save the Last Dance;2,9;;;46252;Rust;;0
Saved!;3,4;;;9257;S.W.A.T.;;0
Saving Face;4;;;464;Så som i himmelen;;0
Saving Mr. Banks;3,4;;;144336;Sabotage;;0
Saving Private Ryan;4,2;;;72387;Safe;;0
Saving Silverman;2,6;;;112949;Safe Haven;;0
Savva, Heart of the Warrior;2,4;;;59961;Safe House;;0
Saw;3,6;;;16155;Safe Men;;0
Saw 3D;2,3;;;84332;Safety Not Guaranteed;;0
Saw II;3,1;;;7364;Sahara;;0
Saw III;2,8;;;27023;Saint John of Las Vegas;;0
Saw IV;2,6;;;25248;Saint Ralph;;0
Saw V;2,6;;;10105;Saints and Soldiers;;0
Saw VI;2,8;;;27576;Salt;;0
Say It Isn't So;2;;;11468;Salton Sea;;0
Scarface;4,1;;;6106;Salvador;;0
Scary Movie 2;2,5;;;66607;Salvando al Soldado Perez;;0
Scary Movie 3;2,6;;;51995;Salvation Boulevard;;0
Scary Movie 4;2,2;;;25786;Samantha: An American Girl Holiday;;0
Scary Movie 5;1,6;;;49953;Sammy's avonturen: De geheime doorgang;;0
Schindler's List;4,4;;;89708;Samsara;;0
School Daze;3,3;;;254128;San Andreas;;0
School for Scoundrels;2,3;;;286939;Sanctuary: Quite a Conundrum;;0
School of Rock;3,7;;;48340;Sanctum;;0
Scooby-Doo;3,2;;;18712;Sands of Iwo Jima;;0
Scooby-Doo 2: Monsters Unleashed;3;;;346081;Sardaarji;;0
Scoop;3;;;223702;Sausage Party;;0
Scott Pilgrim vs. the World;3,9;;;10822;Savage Grace;;0
Scott Walker: 30 Century Man;3,6;;;82525;Savages;;0
Scream;4;;;9816;Save the Last Dance;;0
Scream 2;3,3;;;13193;Saved!;;0
Scream 3;2,9;;;19316;Saving Face;;0
Scream 4;3,3;;;140823;Saving Mr. Banks;;0
Screwed;2,7;;;857;Saving Private Ryan;;0
Scrooged;3,4;;;10878;Saving Silverman;;0
Se7en;4,3;;;176;Saw;;0
Sea of Love;3,3;;;41439;Saw 3D;;0
Sea Rex 3D: Journey to a Prehistoric World;3,3;;;215;Saw II;;0
Seabiscuit;3,2;;;214;Saw III;;0
Secondhand Lions;3,4;;;663;Saw IV;;0
Secret in Their Eyes;2,8;;;11917;Saw V;;0
Secret Window;3;;;22804;Saw VI;;0
Secretariat;3,2;;;20309;Say It Isn't So;;0
Secretary;3,4;;;111;Scarface;;0
See Spot Run;2,3;;;4248;Scary Movie 2;;0
Seed of Chucky;2,5;;;4256;Scary Movie 3;;0
Seeking a Friend for the End of the World;3,2;;;4257;Scary Movie 4;;0
Selena;3,6;;;4258;Scary Movie 5;;0
Self/less;2,7;;;424;Schindler's List;;0
Selma;3,8;;;36739;School Daze;;0
Semi-Pro;2,7;;;9842;School for Scoundrels;;0
Sense and Sensibility;3,8;;;1584;School of Rock;;0
September Dawn;2,5;;;9637;Scooby-Doo;;0
Serbuan maut;3,9;;;11024;Scooby-Doo 2: Monsters Unleashed;;0
Serendipity;3,2;;;512;Scoop;;0
Serenity;3,6;;;22538;Scott Pilgrim vs. the World;;0
Serial Mom;3,7;;;30867;Scott Walker: 30 Century Man;;0
Serving Sara;2;;;4232;Scream;;0
Session 9;3,2;;;4233;Scream 2;;0
Set It Off;3,7;;;4234;Scream 3;;0
Seven Pounds;3,3;;;41446;Scream 4;;0
Seven Psychopaths;3,6;;;19419;Screwed;;0
Seven Samurai;4,5;;;9647;Scrooged;;0
Seven Years in Tibet;3,4;;;807;Se7en;;0
Seventh Son;2;;;12150;Sea of Love;;0
Severance;3,1;;;78394;Sea Rex 3D: Journey to a Prehistoric World;;0
Sex and the City 2;2,2;;;4464;Seabiscuit;;0
Sex Drive;2,7;;;13156;Secondhand Lions;;0
Sex Tape;2;;;290751;Secret in Their Eyes;;0
Sex With Strangers;3,1;;;1586;Secret Window;;0
Sex, Lies, and Videotape;3,8;;;39486;Secretariat;;0
Sexy Beast;3,8;;;11013;Secretary;;0
Sgt. Bilko;2,6;;;39180;See Spot Run;;0
Shade;2,7;;;11249;Seed of Chucky;;0
Shadow Conspiracy;2,2;;;88005;Seeking a Friend for the End of the World;;0
Shadow of the Vampire;3,5;;;16052;Selena;;0
Shadowlands;3,6;;;238615;Self/less;;0
Shaft;2,8;;;273895;Selma;;0
Shakespeare in Love;3,2;;;13260;Semi-Pro;;0
Shalako;2,7;;;4584;Sense and Sensibility;;0
Shall We Dance?;2,9;;;14877;September Dawn;;0
Shallow Hal;2,4;;;94329;Serbuan maut;;0
Shame;3,7;;;9778;Serendipity;;0
Shanghai Calling;2,7;;;16320;Serenity;;0
Shanghai Knights;2,7;;;11592;Serial Mom;;0
Shanghai Noon;2,9;;;12771;Serving Sara;;0
Shanghai Surprise;1,6;;;10972;Session 9;;0
Shaolin Soccer;3,6;;;9400;Set It Off;;0
Shark Lake;1,6;;;11321;Seven Pounds;;0
Shark Night;2,3;;;86838;Seven Psychopaths;;0
Shark Tale;2,7;;;978;Seven Years in Tibet;;0
Sharknado;1,7;;;68737;Seventh Son;;0
Sharkskin;-;;;5072;Severance;;0
Shattered Glass;3,5;;;37786;Sex and the City 2;;0
Shaun of the Dead;4;;;13523;Sex Drive;;0
She Done Him Wrong;3;;;225886;Sex Tape;;0
She Wore a Yellow Ribbon;3,5;;;102840;Sex With Strangers;;0
Sheena;2,3;;;1412;Sex, Lies, and Videotape;;0
Sherlock Holmes;3,4;;;11826;Sexy Beast;;0
Sherlock Holmes: A Game of Shadows;3,2;;;9099;Sgt. Bilko;;0
Sherrybaby;3,1;;;14576;Shade;;0
She's All That;2,9;;;38153;Shadow Conspiracy;;0
She's Gotta Have It;3,5;;;10873;Shadow of the Vampire;;0
She's Out of My League;2,8;;;10445;Shadowlands;;0
She's the Man;3,3;;;479;Shaft;;0
She's the One;2,6;;;1934;Shakespeare in Love;;0
Shin Godzilla;3,8;;;39209;Shalako;;0
